system:index,lwe_thickness
20091231_20100130,3.767082625
20100131_20100227,4.211567037
20100228_20100330,2.515009657
20100331_20100429,1.203057788
20100430_20100530,-1.557413877
20100531_20100629,-3.296768642
20100630_20100730,-8.969762607
20100731_20100830,-9.079812177
20100831_20100929,-8.281895351
20100930_20101030,-6.699611512
20101031_20101129,-1.882068026
20101130_20101226,5.909389228
20101227_10110130,-9999
20110207_20110227,6.185208046
20110228_20110330,4.791629528
20110331_20110429,0.299920123
20110430_20110530,-6.80188646
20110531_20110630,-9999
20110704_20110730,-9.664825054
20110731_20110830,-8.287623163
20110831_20110929,-11.13519964
20110930_20111030,-11.5623088
20111016_20111115,-9.841716574
20111216_20120114,2.604259619
20111231_20120130,3.442215286
20120131_20120228,3.078206806
20120229_20120330,3.16633852
20120319_20120418,-1.600174397
20120419_20120530,-9999
20120531_20120629,-2.013915206
20120630_20120730,-3.638838749
20120731_20120830,-10.93201176
20120831_20120923,-12.20599006
20121105_20121129,-2.046737027
20121130_20121230,-0.402703306
20121231_20130130,5.225866367